league,team,players_used,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url
ITA-Serie A,Genoa,33,27.0,44.0,22,242,1980,22,19,13,32,19,0,2,45,0,23.3,21.6,16.2,37.8,267,580,0.86,0.59,1.45,0.86,1.45,1.06,0.74,1.8,0.98,1.72,/en/squads/658bf2de/Genoa-Stats
ITA-Serie A,Hellas Verona,27,25.8,39.1,22,242,1980,22,23,17,40,21,2,2,61,7,21.9,20.3,17.0,37.3,269,603,1.05,0.77,1.82,0.95,1.73,0.99,0.77,1.77,0.92,1.7,/en/squads/0e72edf2/Hellas-Verona-Stats
ITA-Serie A,Inter,23,29.9,59.4,21,231,1890,21,54,40,94,48,6,7,29,0,41.1,36.0,26.6,62.6,346,961,2.57,1.9,4.48,2.29,4.19,1.96,1.27,3.23,1.71,2.98,/en/squads/d609edc0/Internazionale-Stats
ITA-Serie A,Juventus,26,25.2,59.0,22,242,1980,22,33,23,56,29,4,4,41,1,30.3,27.2,21.0,48.2,517,854,1.5,1.05,2.55,1.32,2.36,1.38,0.95,2.33,1.24,2.19,/en/squads/e0652b02/Juventus-Stats
ITA-Serie A,Lazio,23,27.7,54.8,22,242,1980,22,37,26,63,33,4,5,57,4,33.3,29.6,21.0,50.6,445,931,1.68,1.18,2.86,1.5,2.68,1.51,0.95,2.47,1.35,2.3,/en/squads/7213da33/Lazio-Stats
ITA-Serie A,Lecce,27,26.6,44.4,22,242,1980,22,15,11,26,14,1,2,36,5,21.5,19.9,15.4,35.3,308,614,0.68,0.5,1.18,0.64,1.14,0.98,0.7,1.68,0.91,1.6,/en/squads/ffcbe334/Lecce-Stats
ITA-Serie A,Milan,28,26.3,54.4,21,231,1890,21,32,21,53,29,3,5,39,3,35.3,31.4,24.5,55.9,509,927,1.52,1.0,2.52,1.38,2.38,1.68,1.17,2.85,1.49,2.66,/en/squads/dc56fe14/Milan-Stats
ITA-Serie A,Monza,29,27.6,47.9,22,242,1980,22,19,12,31,17,2,2,62,3,18.7,17.3,12.9,30.2,302,591,0.86,0.55,1.41,0.77,1.32,0.85,0.59,1.44,0.79,1.37,/en/squads/21680aa4/Monza-Stats
ITA-Serie A,Napoli,23,29.0,53.1,22,242,1980,22,35,26,61,31,4,5,26,0,31.8,28.0,24.0,52.1,432,929,1.59,1.18,2.77,1.41,2.59,1.45,1.09,2.54,1.27,2.37,/en/squads/d48ad4ff/Napoli-Stats
ITA-Serie A,Parma,30,24.5,44.5,22,242,1980,22,27,19,46,23,4,5,44,4,26.9,22.9,17.6,40.6,384,644,1.23,0.86,2.09,1.05,1.91,1.22,0.8,2.02,1.04,1.84,/en/squads/eab4234c/Parma-Stats
